z[km],p[mb],T[K],air[cm-3],o3[cm-3],o3[atm-cm/km],o2[cm-3],h2o[cm-3],co2[cm-3],no2[cm-3],beta_m_532[sr-1 km-1],sigma_m_532[km-1],beta_m_1064[sr-1 km-1],sigma_m_1064[km-1],beta_p_532[sr-1 km-1],sigma_p_532[km-1],beta_p_1064[sr-1 km-1],sigma_p_1064[km-1]
118.200,   3.360e-05,   3.384e+02,   6.755e+11,   1.906e+03,   7.086e-12,   5.654e+10,   1.492e+05,   2.542e+07,   1.034e+02,   4.006e-11,   3.490e-10,   2.426e-12,   2.112e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
118.050,   3.390e-05,   3.366e+02,   6.892e+11,   2.044e+03,   7.598e-12,   5.816e+10,   1.531e+05,   2.605e+07,   1.056e+02,   4.087e-11,   3.561e-10,   2.476e-12,   2.155e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
117.900,   3.420e-05,   3.348e+02,   7.029e+11,   2.181e+03,   8.109e-12,   5.978e+10,   1.570e+05,   2.668e+07,   1.078e+02,   4.168e-11,   3.632e-10,   2.525e-12,   2.198e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
117.750,   3.450e-05,   3.330e+02,   7.166e+11,   2.319e+03,   8.620e-12,   6.140e+10,   1.610e+05,   2.730e+07,   1.100e+02,   4.250e-11,   3.703e-10,   2.574e-12,   2.241e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
117.600,   3.480e-05,   3.312e+02,   7.304e+11,   2.456e+03,   9.131e-12,   6.302e+10,   1.649e+05,   2.793e+07,   1.121e+02,   4.331e-11,   3.774e-10,   2.623e-12,   2.284e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
117.450,   3.510e-05,   3.294e+02,   7.441e+11,   2.594e+03,   9.643e-12,   6.464e+10,   1.688e+05,   2.856e+07,   1.143e+02,   4.412e-11,   3.845e-10,   2.673e-12,   2.327e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
117.300,   3.540e-05,   3.276e+02,   7.578e+11,   2.731e+03,   1.015e-11,   6.626e+10,   1.727e+05,   2.919e+07,   1.165e+02,   4.494e-11,   3.915e-10,   2.722e-12,   2.370e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
117.150,   3.570e-05,   3.258e+02,   7.715e+11,   2.869e+03,   1.066e-11,   6.788e+10,   1.767e+05,   2.981e+07,   1.187e+02,   4.575e-11,   3.986e-10,   2.771e-12,   2.412e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
117.000,   3.600e-05,   3.240e+02,   7.852e+11,   3.006e+03,   1.118e-11,   6.950e+10,   1.806e+05,   3.044e+07,   1.209e+02,   4.656e-11,   4.057e-10,   2.820e-12,   2.455e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
116.850,   3.630e-05,   3.222e+02,   7.989e+11,   3.144e+03,   1.169e-11,   7.112e+10,   1.845e+05,   3.107e+07,   1.231e+02,   4.738e-11,   4.128e-10,   2.870e-12,   2.498e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
116.700,   3.660e-05,   3.204e+02,   8.126e+11,   3.281e+03,   1.220e-11,   7.274e+10,   1.885e+05,   3.169e+07,   1.252e+02,   4.819e-11,   4.199e-10,   2.919e-12,   2.541e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
116.550,   3.690e-05,   3.186e+02,   8.263e+11,   3.419e+03,   1.271e-11,   7.436e+10,   1.924e+05,   3.232e+07,   1.274e+02,   4.900e-11,   4.270e-10,   2.968e-12,   2.584e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
116.400,   3.720e-05,   3.168e+02,   8.400e+11,   3.556e+03,   1.322e-11,   7.598e+10,   1.963e+05,   3.295e+07,   1.296e+02,   4.981e-11,   4.340e-10,   3.017e-12,   2.627e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
116.250,   3.750e-05,   3.150e+02,   8.538e+11,   3.694e+03,   1.373e-11,   7.760e+10,   2.002e+05,   3.358e+07,   1.318e+02,   5.063e-11,   4.411e-10,   3.067e-12,   2.670e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
116.100,   3.780e-05,   3.132e+02,   8.675e+11,   3.832e+03,   1.424e-11,   7.922e+10,   2.042e+05,   3.420e+07,   1.340e+02,   5.144e-11,   4.482e-10,   3.116e-12,   2.713e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
115.950,   3.810e-05,   3.114e+02,   8.812e+11,   3.969e+03,   1.475e-11,   8.084e+10,   2.081e+05,   3.483e+07,   1.362e+02,   5.225e-11,   4.553e-10,   3.165e-12,   2.755e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
115.800,   3.840e-05,   3.096e+02,   8.949e+11,   4.107e+03,   1.527e-11,   8.246e+10,   2.120e+05,   3.546e+07,   1.384e+02,   5.307e-11,   4.624e-10,   3.214e-12,   2.798e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
115.650,   3.870e-05,   3.078e+02,   9.086e+11,   4.244e+03,   1.578e-11,   8.408e+10,   2.160e+05,   3.608e+07,   1.405e+02,   5.388e-11,   4.695e-10,   3.264e-12,   2.841e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
115.500,   3.900e-05,   3.060e+02,   9.223e+11,   4.382e+03,   1.629e-11,   8.570e+10,   2.199e+05,   3.671e+07,   1.427e+02,   5.469e-11,   4.766e-10,   3.313e-12,   2.884e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
115.350,   3.930e-05,   3.042e+02,   9.360e+11,   4.519e+03,   1.680e-11,   8.732e+10,   2.238e+05,   3.734e+07,   1.449e+02,   5.551e-11,   4.836e-10,   3.362e-12,   2.927e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
115.200,   3.960e-05,   3.024e+02,   9.497e+11,   4.657e+03,   1.731e-11,   8.894e+10,   2.278e+05,   3.796e+07,   1.471e+02,   5.632e-11,   4.907e-10,   3.411e-12,   2.970e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
115.050,   3.990e-05,   3.006e+02,   9.634e+11,   4.794e+03,   1.782e-11,   9.056e+10,   2.317e+05,   3.859e+07,   1.493e+02,   5.713e-11,   4.978e-10,   3.461e-12,   3.013e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
114.900,   4.060e-05,   2.988e+02,   9.914e+11,   6.883e+03,   2.559e-11,   9.442e+10,   2.403e+05,   4.060e+07,   1.538e+02,   5.879e-11,   5.123e-10,   3.561e-12,   3.100e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
114.750,   4.150e-05,   2.970e+02,   1.027e+12,   9.948e+03,   3.698e-11,   9.939e+10,   2.514e+05,   4.331e+07,   1.596e+02,   6.088e-11,   5.304e-10,   3.688e-12,   3.210e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
114.600,   4.240e-05,   2.952e+02,   1.062e+12,   1.301e+04,   4.837e-11,   1.044e+11,   2.624e+05,   4.602e+07,   1.653e+02,   6.296e-11,   5.486e-10,   3.814e-12,   3.320e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
114.450,   4.330e-05,   2.934e+02,   1.097e+12,   1.608e+04,   5.977e-11,   1.093e+11,   2.734e+05,   4.872e+07,   1.710e+02,   6.505e-11,   5.668e-10,   3.940e-12,   3.430e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
114.300,   4.420e-05,   2.916e+02,   1.132e+12,   1.914e+04,   7.116e-11,   1.143e+11,   2.844e+05,   5.143e+07,   1.767e+02,   6.713e-11,   5.849e-10,   4.066e-12,   3.540e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
114.150,   4.510e-05,   2.898e+02,   1.167e+12,   2.221e+04,   8.255e-11,   1.193e+11,   2.954e+05,   5.413e+07,   1.825e+02,   6.922e-11,   6.031e-10,   4.193e-12,   3.650e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
114.000,   4.600e-05,   2.880e+02,   1.202e+12,   2.527e+04,   9.395e-11,   1.243e+11,   3.064e+05,   5.684e+07,   1.882e+02,   7.130e-11,   6.213e-10,   4.319e-12,   3.760e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
113.850,   4.690e-05,   2.862e+02,   1.238e+12,   2.834e+04,   1.053e-10,   1.293e+11,   3.174e+05,   5.955e+07,   1.939e+02,   7.339e-11,   6.394e-10,   4.445e-12,   3.870e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
113.700,   4.780e-05,   2.844e+02,   1.273e+12,   3.140e+04,   1.167e-10,   1.342e+11,   3.284e+05,   6.225e+07,   1.997e+02,   7.547e-11,   6.576e-10,   4.572e-12,   3.980e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
113.550,   4.870e-05,   2.826e+02,   1.308e+12,   3.447e+04,   1.281e-10,   1.392e+11,   3.394e+05,   6.496e+07,   2.054e+02,   7.756e-11,   6.758e-10,   4.698e-12,   4.090e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
113.400,   4.960e-05,   2.808e+02,   1.343e+12,   3.753e+04,   1.395e-10,   1.442e+11,   3.504e+05,   6.766e+07,   2.111e+02,   7.964e-11,   6.939e-10,   4.824e-12,   4.200e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
113.250,   5.050e-05,   2.790e+02,   1.378e+12,   4.060e+04,   1.509e-10,   1.492e+11,   3.614e+05,   7.037e+07,   2.169e+02,   8.173e-11,   7.121e-10,   4.950e-12,   4.310e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
113.100,   5.140e-05,   2.772e+02,   1.413e+12,   4.366e+04,   1.623e-10,   1.541e+11,   3.725e+05,   7.308e+07,   2.226e+02,   8.381e-11,   7.303e-10,   5.077e-12,   4.420e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
112.950,   5.230e-05,   2.754e+02,   1.449e+12,   4.673e+04,   1.737e-10,   1.591e+11,   3.835e+05,   7.578e+07,   2.283e+02,   8.590e-11,   7.485e-10,   5.203e-12,   4.530e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
112.800,   5.320e-05,   2.736e+02,   1.484e+12,   4.979e+04,   1.851e-10,   1.641e+11,   3.945e+05,   7.849e+07,   2.340e+02,   8.798e-11,   7.666e-10,   5.329e-12,   4.639e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
112.650,   5.410e-05,   2.718e+02,   1.519e+12,   5.286e+04,   1.965e-10,   1.691e+11,   4.055e+05,   8.119e+07,   2.398e+02,   9.007e-11,   7.848e-10,   5.456e-12,   4.749e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
112.500,   5.500e-05,   2.700e+02,   1.554e+12,   5.592e+04,   2.079e-10,   1.740e+11,   4.165e+05,   8.390e+07,   2.455e+02,   9.215e-11,   8.030e-10,   5.582e-12,   4.859e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
112.350,   5.590e-05,   2.682e+02,   1.589e+12,   5.898e+04,   2.193e-10,   1.790e+11,   4.275e+05,   8.661e+07,   2.512e+02,   9.424e-11,   8.211e-10,   5.708e-12,   4.969e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
112.200,   5.680e-05,   2.664e+02,   1.624e+12,   6.205e+04,   2.307e-10,   1.840e+11,   4.385e+05,   8.931e+07,   2.570e+02,   9.632e-11,   8.393e-10,   5.835e-12,   5.079e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
112.050,   5.770e-05,   2.646e+02,   1.659e+12,   6.511e+04,   2.421e-10,   1.890e+11,   4.495e+05,   9.202e+07,   2.627e+02,   9.841e-11,   8.575e-10,   5.961e-12,   5.189e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
111.900,   5.860e-05,   2.628e+02,   1.695e+12,   6.818e+04,   2.535e-10,   1.940e+11,   4.605e+05,   9.472e+07,   2.684e+02,   1.005e-10,   8.756e-10,   6.087e-12,   5.299e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
111.750,   5.950e-05,   2.610e+02,   1.730e+12,   7.124e+04,   2.648e-10,   1.989e+11,   4.716e+05,   9.743e+07,   2.741e+02,   1.026e-10,   8.938e-10,   6.213e-12,   5.409e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
111.600,   6.040e-05,   2.592e+02,   1.765e+12,   7.431e+04,   2.762e-10,   2.039e+11,   4.826e+05,   1.001e+08,   2.799e+02,   1.047e-10,   9.120e-10,   6.340e-12,   5.519e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
111.450,   6.130e-05,   2.574e+02,   1.800e+12,   7.737e+04,   2.876e-10,   2.089e+11,   4.936e+05,   1.028e+08,   2.856e+02,   1.067e-10,   9.301e-10,   6.466e-12,   5.629e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
111.300,   6.220e-05,   2.556e+02,   1.835e+12,   8.044e+04,   2.990e-10,   2.139e+11,   5.046e+05,   1.055e+08,   2.913e+02,   1.088e-10,   9.483e-10,   6.592e-12,   5.739e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
111.150,   6.310e-05,   2.538e+02,   1.870e+12,   8.350e+04,   3.104e-10,   2.188e+11,   5.156e+05,   1.083e+08,   2.971e+02,   1.109e-10,   9.665e-10,   6.719e-12,   5.849e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
111.000,   6.400e-05,   2.520e+02,   1.906e+12,   8.657e+04,   3.218e-10,   2.238e+11,   5.266e+05,   1.110e+08,   3.028e+02,   1.130e-10,   9.846e-10,   6.845e-12,   5.959e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
110.850,   6.490e-05,   2.502e+02,   1.941e+12,   8.963e+04,   3.332e-10,   2.288e+11,   5.376e+05,   1.137e+08,   3.085e+02,   1.151e-10,   1.003e-09,   6.971e-12,   6.069e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
110.700,   6.580e-05,   2.484e+02,   1.976e+12,   9.270e+04,   3.446e-10,   2.338e+11,   5.486e+05,   1.164e+08,   3.143e+02,   1.172e-10,   1.021e-09,   7.098e-12,   6.179e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
110.550,   6.670e-05,   2.466e+02,   2.011e+12,   9.576e+04,   3.560e-10,   2.388e+11,   5.596e+05,   1.191e+08,   3.200e+02,   1.193e-10,   1.039e-09,   7.224e-12,   6.289e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
110.400,   6.760e-05,   2.448e+02,   2.046e+12,   9.883e+04,   3.674e-10,   2.437e+11,   5.706e+05,   1.218e+08,   3.257e+02,   1.213e-10,   1.057e-09,   7.350e-12,   6.399e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
110.250,   6.850e-05,   2.430e+02,   2.081e+12,   1.019e+05,   3.788e-10,   2.487e+11,   5.816e+05,   1.245e+08,   3.315e+02,   1.234e-10,   1.075e-09,   7.476e-12,   6.509e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
110.100,   6.940e-05,   2.412e+02,   2.117e+12,   1.050e+05,   3.902e-10,   2.537e+11,   5.927e+05,   1.272e+08,   3.372e+02,   1.255e-10,   1.094e-09,   7.603e-12,   6.618e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
109.950,   7.070e-05,   2.397e+02,   2.169e+12,   1.160e+05,   4.313e-10,   2.615e+11,   6.111e+05,   1.333e+08,   3.458e+02,   1.286e-10,   1.121e-09,   7.791e-12,   6.782e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
109.800,   7.280e-05,   2.388e+02,   2.256e+12,   1.431e+05,   5.320e-10,   2.749e+11,   6.444e+05,   1.460e+08,   3.604e+02,   1.338e-10,   1.165e-09,   8.102e-12,   7.053e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
109.650,   7.490e-05,   2.378e+02,   2.342e+12,   1.702e+05,   6.327e-10,   2.884e+11,   6.777e+05,   1.587e+08,   3.749e+02,   1.389e-10,   1.210e-09,   8.414e-12,   7.324e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
109.500,   7.700e-05,   2.369e+02,   2.429e+12,   1.973e+05,   7.335e-10,   3.018e+11,   7.110e+05,   1.715e+08,   3.894e+02,   1.440e-10,   1.255e-09,   8.725e-12,   7.595e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
109.350,   7.910e-05,   2.359e+02,   2.516e+12,   2.244e+05,   8.342e-10,   3.152e+11,   7.443e+05,   1.843e+08,   4.039e+02,   1.492e-10,   1.300e-09,   9.036e-12,   7.867e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
109.200,   8.120e-05,   2.350e+02,   2.602e+12,   2.515e+05,   9.349e-10,   3.287e+11,   7.776e+05,   1.970e+08,   4.184e+02,   1.543e-10,   1.345e-09,   9.348e-12,   8.138e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
109.050,   8.330e-05,   2.341e+02,   2.689e+12,   2.786e+05,   1.036e-09,   3.421e+11,   8.109e+05,   2.097e+08,   4.330e+02,   1.595e-10,   1.389e-09,   9.659e-12,   8.409e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
108.900,   8.540e-05,   2.331e+02,   2.776e+12,   3.057e+05,   1.136e-09,   3.556e+11,   8.442e+05,   2.225e+08,   4.475e+02,   1.646e-10,   1.434e-09,   9.971e-12,   8.680e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
108.750,   8.750e-05,   2.322e+02,   2.863e+12,   3.328e+05,   1.237e-09,   3.690e+11,   8.775e+05,   2.352e+08,   4.620e+02,   1.697e-10,   1.479e-09,   1.028e-11,   8.951e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
108.600,   8.960e-05,   2.313e+02,   2.949e+12,   3.598e+05,   1.338e-09,   3.824e+11,   9.108e+05,   2.480e+08,   4.765e+02,   1.749e-10,   1.524e-09,   1.059e-11,   9.222e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
108.450,   9.170e-05,   2.303e+02,   3.036e+12,   3.869e+05,   1.438e-09,   3.959e+11,   9.441e+05,   2.608e+08,   4.910e+02,   1.800e-10,   1.569e-09,   1.090e-11,   9.493e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
108.300,   9.380e-05,   2.294e+02,   3.123e+12,   4.140e+05,   1.539e-09,   4.093e+11,   9.774e+05,   2.735e+08,   5.056e+02,   1.852e-10,   1.613e-09,   1.122e-11,   9.764e-11,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
108.150,   9.590e-05,   2.285e+02,   3.209e+12,   4.411e+05,   1.640e-09,   4.228e+11,   1.011e+06,   2.862e+08,   5.201e+02,   1.903e-10,   1.658e-09,   1.153e-11,   1.004e-10,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
108.000,   9.800e-05,   2.275e+02,   3.296e+12,   4.682e+05,   1.741e-09,   4.362e+11,   1.044e+06,   2.990e+08,   5.346e+02,   1.955e-10,   1.703e-09,   1.184e-11,   1.031e-10,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
107.850,   1.001e-04,   2.266e+02,   3.383e+12,   4.953e+05,   1.841e-09,   4.496e+11,   1.077e+06,   3.118e+08,   5.491e+02,   2.006e-10,   1.748e-09,   1.215e-11,   1.058e-10,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
107.700,   1.022e-04,   2.256e+02,   3.469e+12,   5.224e+05,   1.942e-09,   4.631e+11,   1.111e+06,   3.245e+08,   5.636e+02,   2.057e-10,   1.793e-09,   1.246e-11,   1.085e-10,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
107.550,   1.043e-04,   2.247e+02,   3.556e+12,   5.495e+05,   2.043e-09,   4.765e+11,   1.144e+06,   3.372e+08,   5.782e+02,   2.109e-10,   1.837e-09,   1.277e-11,   1.112e-10,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
107.400,   1.064e-04,   2.238e+02,   3.643e+12,   5.766e+05,   2.143e-09,   4.900e+11,   1.177e+06,   3.500e+08,   5.927e+02,   2.160e-10,   1.882e-09,   1.308e-11,   1.139e-10,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
107.250,   1.085e-04,   2.228e+02,   3.730e+12,   6.036e+05,   2.244e-09,   5.034e+11,   1.210e+06,   3.627e+08,   6.072e+02,   2.212e-10,   1.927e-09,   1.340e-11,   1.166e-10,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
107.100,   1.106e-04,   2.219e+02,   3.816e+12,   6.307e+05,   2.345e-09,   5.168e+11,   1.244e+06,   3.755e+08,   6.217e+02,   2.263e-10,   1.972e-09,   1.371e-11,   1.193e-10,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
106.950,   1.127e-04,   2.210e+02,   3.903e+12,   6.578e+05,   2.445e-09,   5.303e+11,   1.277e+06,   3.883e+08,   6.362e+02,   2.314e-10,   2.017e-09,   1.402e-11,   1.220e-10,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
106.800,   1.148e-04,   2.200e+02,   3.990e+12,   6.849e+05,   2.546e-09,   5.437e+11,   1.310e+06,   4.010e+08,   6.508e+02,   2.366e-10,   2.061e-09,   1.433e-11,   1.248e-10,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
106.650,   1.169e-04,   2.191e+02,   4.076e+12,   7.120e+05,   2.647e-09,   5.572e+11,   1.344e+06,   4.137e+08,   6.653e+02,   2.417e-10,   2.106e-09,   1.464e-11,   1.275e-10,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
106.500,   1.190e-04,   2.182e+02,   4.163e+12,   7.391e+05,   2.748e-09,   5.706e+11,   1.377e+06,   4.265e+08,   6.798e+02,   2.469e-10,   2.151e-09,   1.495e-11,   1.302e-10,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
106.350,   1.211e-04,   2.172e+02,   4.250e+12,   7.662e+05,   2.848e-09,   5.840e+11,   1.410e+06,   4.393e+08,   6.943e+02,   2.520e-10,   2.196e-09,   1.526e-11,   1.329e-10,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
106.200,   1.232e-04,   2.163e+02,   4.336e+12,   7.933e+05,   2.949e-09,   5.975e+11,   1.444e+06,   4.520e+08,   7.088e+02,   2.571e-10,   2.241e-09,   1.558e-11,   1.356e-10,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
106.050,   1.253e-04,   2.154e+02,   4.423e+12,   8.204e+05,   3.050e-09,   6.109e+11,   1.477e+06,   4.647e+08,   7.234e+02,   2.623e-10,   2.285e-09,   1.589e-11,   1.383e-10,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
105.900,   1.274e-04,   2.144e+02,   4.510e+12,   8.475e+05,   3.150e-09,   6.244e+11,   1.510e+06,   4.775e+08,   7.379e+02,   2.674e-10,   2.330e-09,   1.620e-11,   1.410e-10,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
105.750,   1.295e-04,   2.135e+02,   4.597e+12,   8.746e+05,   3.251e-09,   6.378e+11,   1.544e+06,   4.902e+08,   7.524e+02,   2.726e-10,   2.375e-09,   1.651e-11,   1.437e-10,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
105.600,   1.316e-04,   2.125e+02,   4.683e+12,   9.016e+05,   3.352e-09,   6.512e+11,   1.577e+06,   5.030e+08,   7.669e+02,   2.777e-10,   2.420e-09,   1.682e-11,   1.464e-10,   0.000e+00,   0.000e+00,   0.000e+00,   0.000e+00
